,카페이름
854,안심4동 카페달달 신서점
855,혁신동 원유로스페셜티 대구동구혁신DT점
856,내당1동 드롭탑 대구웨딩비엔나점
857,봉덕3동 유이이유
858,내당2동 서문
859,내당2동 카페봄봄 서문시장점
860,내당4동 스타벅스 대구광장점
861,고성동 텐퍼센트커피 대구침산점
862,대명10동 카페경혜네
863,대명4동 칼터커피
864,혁신동 릴리오브더벨리
865,평리1동 커피판다
866,봉덕2동 나따오비까
867,대명10동 성당못 빌
868,대명2동 청솔로9 남구점
869,비산1동 비원휴카페
870,평리3동 하이오커피 대구서구청점
871,비산3동 수향
872,이천동 피크니끄
873,상중이동 명지현
874,대명3동 커피맘
875,비산6동 소피의커피테이블 서구비산동점
876,혁신동 더리터 신서혁신도시점
877,대명9동 홀리몰리
878,대명3동 다빈치커피 대명마루점
879,비산6동 마이브라운노트
880,평리5동 YTD216
881,평리6동 커피마을
882,비산4동 몬스터커피 서문시장점
883,봉덕3동 레이트피엠
884,안심4동 7080정철라이브
885,비산5동 홍주다방
886,원대동 아름드리
887,봉덕3동 나랑노랑
888,대명11동 카페엠트리 서부점
889,대명4동 진커피도넛
890,비산5동 제일다방
891,내당4동 카페봉봉
892,내당4동 브루업
893,대명6동 개들래미
894,대명6동 더리터 대명역점
895,대명2동 꾸덕꾸
896,대명9동 소예루
897,봉덕1동 진주커피숍
898,평리1동 YTD216
899,비산7동 샘물
900,봉덕1동 더벤티 대구봉덕점
901,대명6동 즉흥적인
902,대명9동 몬스터커피 안지랑점
903,이천동 피커피커
904,봉덕1동 지알지(grg)
905,대명3동 스윗
906,내당2동 몬스터커피 서문시장점
907,대명3동 울트라커피
908,봉덕3동 화성커피숍
909,봉덕2동 원기커피 남구청점
910,안심4동 미소짓다사주타로카페
911,혁신동 컴포즈커피 대구혁신점
912,비산7동 동원다방
913,대명10동 스타벅스 대구가톨릭대학교병원점
914,평리1동 카페피네
915,대명3동 몬순
916,혁신동 청담커피 신서점
917,평리5동 위치커피
918,혁신동 공차 대구혁신도시점
919,상중이동 퀸스라이브카페
920,대명9동 웅자커피
921,대명6동 캔버스커피 대명역점
922,비산4동 조금남다른커피
923,원대동 원대로북카페
924,내당1동 카페봄봄 내당점
925,봉덕3동 날마다커피향
926,평리6동 커피콩
927,평리6동 순풍다방
928,봉덕1동 피크니끄
929,대명4동 써니커피 대명점
930,고성동 모모달
931,대명10동 라이크멍
932,봉덕2동 굿스위트
933,평리4동 레프트뱅크 서구청점
934,평리6동 도자카페채움
935,평리3동 설빙 대구서구청점
936,대명1동 카페사코
937,비산4동 카페나인원
938,평리5동 이디야커피 대구서구청점
939,봉덕3동 그레이스
940,대명9동 리스너
941,비산7동 연인다방
