사업장명,경도,위도,,
꿈꾸는슬라임하우스,128.5473799,35.93346654,,
플랫헤이,128.6144476,35.8975637,,
골목카페,128.6093498,35.88499467,,
레몬,128.6177509,35.89501903,,
카페아리엘(Cafe Ariel),128.570274,35.94459372,,
카페히스토리스탠드,128.5680581,35.94954163,,
정글몬스터,128.5459158,35.9273071,,
리프레쉬,128.5884246,35.89168265,,
슈가블럭,128.553525,35.93811129,,
라망,128.5865073,35.88628105,,
메이플101커피,128.6087283,35.87986938,,
디저트39,128.5901796,35.88944568,,
잼잼박스,128.6100758,35.89413176,,
모두의카페다다름,128.6075358,35.89184581,,
투썸플레이스대구운암지점,128.5662616,35.93207754,,
그랜마오븐,128.5644617,35.95276643,,
리프컴퍼니(lief_company),128.5881712,35.87977922,,
해피잇,128.5672014,35.89043201,,
공차대구매천점,128.5468703,35.91321355,,
올제커피(Olze Coffee),128.5651168,35.95355981,,
투썸플레이스대구칠곡3지구점,128.5569235,35.94361286,,
히어위어(here we are)침산점,128.5978635,35.88357791,,
레프트뱅크,128.6104707,35.89462993,,
공커피(Gong Coffee),128.6268083,35.9133462,,
골목서재,128.604308,35.89388149,,
