,카페이름
752,관음동 스타벅스 대구동천점
753,황금2동 명덕빵앗간
754,무태조야동 카페봄봄 연경점
755,산격4동 콰이어트타임인어시티
756,국우동 라이브 인365
757,칠성동 그대도카페
758,노원동 로얄커피숍
759,만촌2동 J트리커피
760,관문동 할리스 대구팔달교DT점
761,국우동 몬스터커피 도남점
762,상동 소스앤니
763,태전1동 달카롱
764,만촌2동 카페토디
765,산격4동 더프룻
766,태전2동 카페다도화
767,범어2동 마타보카커피
768,수성3가동 카페론썸
769,두산동 스타벅스 수성리더스점
770,태전2동 베이스먼트
771,수성3가동 커피맛을조금아는남자 로스팅허브 피크점
772,범어1동 마루모리
773,범어3동 매스커피 범어역점
774,읍내동 모아까페의류
775,무태조야동 나따오비까by디쿡
776,국우동 미사리라이브
777,국우동 몽블랑
778,상동 구름
779,수성1가동 빌라드모리
780,상동 목련양과
781,산격1동 더프룻
782,침산3동 엔제리너스 대구침산로점
783,산격1동 골목서재
784,만촌2동 이디야 만촌역점
785,산격3동 어쓰커피 경북대점
786,범어2동 앤드슬로우
787,태전2동 청춘다방
788,구지면 스위트가든&카페스위트
789,구암동 구암동김양커피
790,침산2동 레드데이
791,황금1동 카페에서
792,구지면 약속다방
793,침산2동 아담브릿지
794,구지면 양지다방
795,만촌1동 어느봄날
796,두산동 추억스케치
797,구지면 바빈스커피 대구현풍점
798,황금2동 앤드썸
799,노원동 서부다방
800,복현2동 보케르커피
801,무태조야동 쿠킹놀이터
802,범어2동 파스쿠찌 수성구청역점
803,태전2동 멍뭉몽애견카페
804,수성4가동 커피맛을조금아는남자
805,수성1가동 대봉동 문
806,수성4가동 류커피로스터스 범어점
807,동천동 제로디스턴스
808,관문동 메가MGC커피 태전역점
809,검단동 텐퍼센트커피 대구이시아폴리스점
810,범어3동 어썸(awesome)
811,산격1동 스타벅스 경북대점
812,구지면 마시그래이 현풍구지점
813,범어3동 에쎄커피숍
814,만촌1동 희연커피
815,산격1동 오이구이
816,수성3가동 투썸플레이스 대구범어점
817,수성2가동 동서커피숍
818,구지면 하이멍뭉
819,수성2가동 청솔로9 수성시장역점
820,대현동 캔버스
821,상동 코리아코나
822,구지면 제이에이치커피
823,대현동 ROUND COFFEE SQUARE
824,침산1동 모모달
825,검단동 에쏘라인 이시아폴리스점
826,범어1동 주스탐커피
827,만촌1동 마스타컴퍼니
828,산격1동 The미네랄까페
829,구암동 카페소소
830,읍내동 홍월당
831,침산3동 매스커피 침산네거리점
832,칠성동 누보폴레토
833,수성3가동 과일콕 수성점
834,태전1동 카페올드클로젯
835,읍내동 요거프렌즈
836,태전1동 우즈베이커리포레스트
837,침산3동 나인블럭 투가든대구점
838,산격2동 더블유컬렉션 산격점
839,노원동 아름드리
840,산격1동 커탐
841,복현1동 몬스터커피 복현점
842,태전1동 청춘다방
843,관문동 물레다방
844,만촌1동 보틀플라이
845,만촌3동 카페바스
846,황금1동 핸즈커피 황금점
847,복현1동 카페여문
848,관음동 할리스 대구동천점
849,만촌2동 커피몽땅
850,산격2동 두루카페
851,중동 고커피레드
852,관음동 청솔로9 칠곡동천점
853,대현동 리터킹 대현점
854,황금1동 비포커피
855,침산2동 더벤티 침산오페라점
856,국우동 노블리비아
857,만촌2동 샌드선샤인
858,두산동 메가MGC커피 대구황금점
859,상동 다홍연화
860,복현2동 커피앤
861,범어1동 아까이구쯔
862,수성3가동 모리커피 수성시장역점
863,구암동 젤로
864,만촌3동 카페이오칠공
865,만촌1동 크로스워크
866,동천동 미미당
867,산격1동 도너츠윤 대구직영점
868,칠성동 달담커피
869,범어1동 수니커피
870,복현1동 유영
871,만촌3동 미니빈
872,범어1동 공다정
873,파동 크림슨래빗
874,동천동 빽다방 대구칠곡팔거역점
875,태전1동 카페 비비디
876,무태조야동 청솔로9 연경점
877,복현1동 겐조
878,만촌3동 쿠우
879,태전2동 카페티그레
880,산격2동 북카페
881,파동 뮤즈
