,카페이름
1170,멜로우옐로우(mellow yellow)
1171,스위치어페럴
1172,쉼터커피
1173,토브카페
1174,달콤미술관
1175,카페포핸즈
1176,김명옥헤어카페
1177,로지트
1178,토프레소 대구월촌역점
1179,구공카페 대구동서변점
1180,오프더스트릿
1181,J&M커피컴퍼니
1182,고양이랑 카페놀이
1183,나우커피 만촌점
1184,플라워카페 봄
1185,블렌즈
1186,MMM
1187,하우
1188,하삼동커피 평리지점
1189,카페얼바인
1190,공차 대구테크노폴리스점
1191,요거트아이스크림의정석
1192,앗다방
1193,베러먼데이커피 대구매호동서점
1194,몬스터커피 비산점
1195,카페미당 용산점
1196,커피는책이랑
1197,더리터 동서변점
1198,원유로스페셜티 대구동구혁신DT점
1199,리시트
1200,내가꿈꾸는다락방
1201,보네스트커피
1202,테리커피
1203,요거트아이스크림의정석 황금점
1204,광장커피숍
1205,카페옴
1206,풀필커피
1207,카페비슬애
1208,두낫디스터브 동대구점
1209,세컨바닐라
1210,발넷이야
1211,소지숍
1212,하마카페
1213,은하수다방
1214,팔공티 대구영대병원점
1215,휴노
1216,컴포즈커피 대구봉덕점
1217,슬로우터틀 성서롯데시네마점
1218,봄빛담다
1219,09264 커피갤러리
1220,CAFE RETRO
1221,공차 홈플러스성서점
1222,위메이크브랜드 케이더블유
1223,청솔로9 상인점
1224,영진도서관카페
1225,공차 대구동아쇼핑점
1226,광복다방
1227,주비 두루향기롭다
1228,헬로우맘
1229,레프트뱅크 화인탑점
1230,카페루고 대구이월드점(4층)
1231,놀이터
1232,마사커피 금호사수직영점
1233,카페시집
1234,카페스로인
1235,브라우네스트커피 로스터스
1236,투썸플레이스 지산광장점
1237,더벤티 대구진천역점
1238,하삼동커피 대구대곡점
1239,미미다방미미식당
1240,커피와만남
1241,화다방
1242,한독커피숍
1243,이영갤러리카페
1244,벧엘외국인센터
1245,카페 벤치타임
1246,카페0937
1247,솔트
1248,카페지봉
1249,몬스터커피 서구청점
1250,도그플레이스
1251,예쁜하루디저트카페
1252,히든비카페
1253,벨빌베이크하우스
1254,카페봄봄 성서아울렛점
1255,카페다올
1256,코타빈스
1257,헬로어게인 북문점
1258,로웰커피바
1259,읽다익다
1260,카페모퉁이
1261,마그마숲힐링카페 대구태전점
1262,카페설화
1263,슬립리스인시애틀 월성엘리바덴점
1264,카페월화
1265,산울림
1266,더하당
1267,핸즈커피 수성3가점
1268,커피본
1269,인문공학 동대구
1270,예향카페
1271,피키
1272,갤러리디엠
1273,꿀벌다방
1274,일오일
1275,카페인(IN)
1276,와룡문화커피
1277,올데이쿠키
1278,버터먹은붕어빵 이천점
1279,투썸플레이스 대구서재점
1280,카페느와르
1281,빵실과자점
1282,데일리앞산
1283,콤포티에
1284,탑리터 혁신점
1285,커피플러스
1286,언제나 내곁에
1287,달리는커피 대구산격1호점
1288,스프링캔 대구태전점
1289,몬스터커피 범물점
1290,옥토끼(Cafe OK Toki)
1291,카페조요네
1292,해리스커피바
1293,보드레
1294,카페이랑
1295,다니상점
1296,조은다방
1297,더벤티 대구신암점
1298,두두앙
1299,카페 아틀란
