,카페이름
980,비나이다
981,슬립리스인시애틀 스파밸리점
982,본인
983,큐비쥬노리카페 대구 옥포점
984,카페달달
985,카페다올
986,스테이골드
987,마니메이크
988,더리터 수성IC점
989,커피멍
990,버터문
991,선택의자유
992,퍼플리
993,더리터 대구옥포점
994,카페아늑
995,예전커피숍
996,커피앤과일프렌즈
997,마시그래이 대천점
998,읍천리382 대구성서점
999,라이브빈카페
1000,논페이지
1001,커피예가
1002,페일블루닷
1003,셉템버9
1004,파도다방
1005,셀프바리스타 시지점
1006,카페오늘은여기
1007,팔공티 대구신월성점
1008,에이딘치
1009,올리올리
1010,보니또
1011,마시그래이 대곡역점
1012,설빙 대구성서점
1013,수연다방
1014,컴포즈커피 현풍테크노폴리스점
1015,라프루따
1016,설빙 대구신월성점
1017,커피베이 대구상인점
1018,카페차차
1019,커피왕가
1020,송우카페
1021,마실커피 테크노폴리스점
1022,이디야커피 대구이곡점
1023,투썸플레이스 대구수목원점
1024,메가MGC커피 대구성서점
1025,카페린
1026,모투이(Motui)
1027,밥스딜라잇 성서점
1028,커피에반하다 대구중리점
1029,커피에썸탄듯 술에썸탄듯
1030,레인
1031,더리터 대구감삼점
1032,구공카페
1033,나우커피 대구매호점
1034,카페홀리데이
1035,구공카페 송현점
1036,카페꽃이피다 시지점
1037,매스커피 대구옥포점
1038,피어오르
1039,꼬모맨션 다사점
1040,카페프리
1041,댕쓰커피
1042,바솜
1043,커피랑도서관 대구성당본리점
1044,별의별 디지스트점
1045,백운힐링카페
1046,지유명차 대구달서구점
1047,카페오월애 유가점
1048,크레마을카페
1049,커피랑도서관 대구죽전점
1050,스타벅스 대구시지점
1051,할리스 대구성서점
1052,청솔로9 현풍점
1053,멜로우
1054,앤위고커피
1055,캣월드
1056,카페피움
1057,아티잔
1058,BK스터디
1059,소나무
1060,투썸플레이스 대구가창점
1061,트리오브헤븐
1062,커피아리
1063,카페반미
1064,카페봄봄 광장점
1065,헝그리커피
1066,다온
1067,이디야커피 수목원점
1068,수목다방
1069,향기다방
1070,알그램
1071,브라우네스트커피 로스터스
1072,이디야 대구호산동점
1073,메리고
1074,카페아미
1075,가져가커피
1076,파이메이트
1077,팔공티 대구구지점
1078,606커피
1079,벨르마망
1080,카페봄봄 대실역점
1081,커피왕 성서롯데시네마점
1082,허브한그루 상인점
1083,이런날커피스탠드
1084,화스플라워앤티
1085,매머드익스프레스 대구상인점
1086,카페비올레타
1087,엘모 상인점
1088,카페봄봄 사월점
1089,나우커피 현풍점
1090,바빈스커피 대구상인점
1091,이디야커피 대구신월성점
1092,우주라이크커피 대구테크노폴리스점
1093,그라노데 다사
1094,달고나디저트
1095,덕천418
1096,음
1097,부부다원
1098,카페봄봄 고산점
1099,바우어
1100,에브리데이 차미점
1101,경복커피숍
1102,하삼동커피 대구월배점
1103,카페포얼스
1104,블루샥 대구월성점
1105,스카이
1106,짹슨커피 감삼점
1107,그린플레이트
1108,옥정카페&식당
1109,쟈뎅1302
1110,카이스스트릿트샵
1111,쌔틀
1112,텐퍼센트커피 대구성서계명대점
1113,브리즈힐
1114,모마
1115,공본스터디카페 대구테크노폴리스센터
1116,카페온(cafe on)
1117,봉명동내커피 대구성서점
1118,백금당 현풍점
1119,더벤티 대구신월성점
1120,커피마마 노변점
1121,공차 동산병원점
1122,이크디저트
1123,락슈가
1124,아침애식혜
1125,와플칸 대구진천점
1126,바바빈
1127,헤드스페이스커피
1128,나인엣지
1129,시기
1130,비트리커피
1131,74운경
1132,하나
1133,카페보스 대구구지점
1134,카페포슬
1135,오커피샵
1136,해리스커피바
1137,제주가는길
1138,카페이루팜 지산목련점
1139,윤스
1140,한정조라이브레스토랑
1141,무인다방 대구시지점
1142,브릭피오
1143,할리스커피 대구힐크레스트점
1144,커피맛을 조금아는남자 지산점
1145,매머드익스프레스 대구신월성점
1146,추억스케치
1147,달콤하마
1148,만랩커피 대구수성범물점
1149,나비드
1150,쏭쏭계란빵
1151,핑퐁커피 현풍점
1152,4월
1153,마시그래이 이곡점
1154,카페반달
1155,이디야커피 대구대실역점
1156,설빙 대구성서계명대점
1157,카페나루앤마트
1158,제이스베이커리
1159,카페포켓
1160,탑7 카페(TOP7 카페)
1161,빠다롤더테라스
1162,제임스딘라이브클럽
1163,청솔로9
1164,아리수라이브카페
1165,dan coffee
1166,마이본 시지점
1167,하삼동커피 대구상인점
1168,해이드
1169,카페봄봄 서재점
1170,이레커피
1171,청담
1172,컴포즈커피 대구서재점
1173,자매커피
1174,설렘 테크노점
1175,몬스터커피 황금캐슬점
1176,공차 대구광장점
1177,온기카페
1178,푸푸커피
1179,해아림상담
1180,호호리
1181,카페탬스
1182,연화당
1183,showpiece
1184,베스트프레즐 대구월성점
1185,공차 대구범물점
1186,로렌디저트
1187,한량가비점
1188,컴포즈커피 대구월성삼정그린코아점
1189,카페올리브
1190,밤샘커피 성서점
1191,무인다방 알파DT
1192,예쁜하루
1193,스토랑트커피 대구대곡점
1194,복고다방 신내당시장점
1195,위라이크케이크
1196,수북하이 신월성점
1197,아이구름솜사탕
1198,갤러리카페산딸기
1199,도그C
1200,블랜즈
1201,카페봄봄 상인점
1202,더츠커피
1203,동남플라워&커피
1204,캔버스 죽전점
1205,달달구리
1206,포레스트플로어
1207,카페아스트로
1208,1리터 맥스 두류점
1209,셀렉토커피 대구성서롯데시네마점
1210,슈퍼사이즈커피 대구테크노폴리스점
1211,보케르커피 성서모다아울렛점
1212,카페소소
1213,풍자
1214,라우디
1215,숭구리달당
1216,카페오딜리
1217,버치브롯
1218,깜카페
1219,데일리스위트
1220,더리터 지산목련점
1221,올리브레스카페
1222,베로에스프레소 광장점
1223,커피한잔
1224,다빈치커피 용산꿈의대화점
1225,92커피
1226,카페정&베이킹스튜디오
1227,카페데이
1228,카페 힘(cafe hymn)
1229,커피나무
1230,젤코바
1231,구공카페 서남시장점
1232,커피읽어주는남자
1233,리970
1234,로우틴커피
1235,레프트뱅크 상인네거리점
1236,멜팅카페
1237,비지스
1238,카페23
1239,ddd커피
1240,소풍가는날
1241,구름슬라임카페
1242,육공맨션
