,0,1,2
남산4동 레프트뱅크 계대정문,https://drive.google.com/uc?id=1kRl9B66F2XWvZ-cgcbp-oce0Cog71cWt,https://drive.google.com/uc?id=13_HUiSZI4RZhQNF8dCvFuWJFd7DP3WRt,https://drive.google.com/uc?id=1Ax1rUBhnhZ5FrBflHIqhgul-bDLj7hKv
남산4동 파스쿠찌 대구남산역점,https://drive.google.com/uc?id=1zOjn7rtK1Vp0kn34cUTWIK3eBjVziBOI,https://drive.google.com/uc?id=12Z4ir45PuOHPnlvZ6wD0IViaAip4sbsi,https://drive.google.com/uc?id=1KzL0q9y9myvbAfQ4f6Z41Sye8PobGZV8
대봉2동 카페생명나무,https://drive.google.com/uc?id=1PM-Oi_lW3bZ0QZuo63rH3Uf4hFpFQ0cG,https://drive.google.com/uc?id=1nFfkTemObx2t0vkNRsr9zLz9g6d-nm8w,https://drive.google.com/uc?id=1w1LPyOauT7XfxzBlWTzn93VTuMJsbCoa
대명3동 다빈치커피 대명마루점,https://drive.google.com/uc?id=17LbcK5MHYzg0hBI10dCrgBpM6L9F3s7T,https://drive.google.com/uc?id=1RcUw1-GYshSZcOdt8_PChCgkWv8rJKp6,https://drive.google.com/uc?id=1rIumTOs_1EwZFuEdk-Cu1grW6vCXdUpv
남산4동 카페봄봄 대명시장점,https://drive.google.com/uc?id=1oAZIr03Yr25feBDcwTnjwaHhhPlvNt_f,https://drive.google.com/uc?id=1rjWvf3lrdCn2iQs5Cz4_MGDsiydUxPM7,https://drive.google.com/uc?id=1_BLm4nPd60axNo6oAWO1InxVnHdFF02c
남산4동 공드리다,https://drive.google.com/uc?id=1KVY1PFE1_0uRXBgkCsk3zQEanXlwxEqU,https://drive.google.com/uc?id=1Uwz1i-OlJ5_zJ-BRXoZWIC85jVK7vKJd,https://drive.google.com/uc?id=1isA_M8cav_LmaKANW9fR5KyCqwofgRBF
대명3동 커피눔,https://drive.google.com/uc?id=1l_mjtZ0rjAWTMYS-74VIBXrP_GgcIUnW,https://drive.google.com/uc?id=1ZFRXqwxoXvOc9kE0zLpDTjYqPl8lk_qW,https://drive.google.com/uc?id=14Uj2-ZWUEFU3n2rdZLrANasHfVjm3ojP
남산3동 플라잉빵차,https://drive.google.com/uc?id=1fZwdp-47eymiRALeBQ_Uwtat3sGNazqa,https://drive.google.com/uc?id=1N2-itvWHqhitoL_JL1GfBck2YwuHY_yr,https://drive.google.com/uc?id=1vPaxPf_Tc_b2soOlOow7fL5aVQqcqu58
대명2동 스트롤커피,https://drive.google.com/uc?id=14w_X3xqtxCnw8pR-yjWwsSJHw9ziqYLQ,https://drive.google.com/uc?id=1towIbtfOuchg4B6zrO6Q9YJPDRkEZ7H4,https://drive.google.com/uc?id=1MN4T6qDQYa1sXmNqs8fEduOBs0j16CQC
이천동 카페모비딕,https://drive.google.com/uc?id=1Yg6ZGnC-9WLlrLjNV_4KJnwAeRCxXVFV,https://drive.google.com/uc?id=1_6J5QS6MZ7FH5NzyFsqwhIxpZwxDcwsR,https://drive.google.com/uc?id=1ttnmp3qEbPcsZBQci_6U7q_xlXragyQP
